id,name
34,ÝSTANBUL
6,ANKARA
35,ÝZMÝR
16,BURSA
1,ADANA
2,ADIYAMAN
3,AFYONKARAHÝSAR
4,AÐRI
68,AKSARAY
5,AMASYA
7,ANTALYA
75,ARDAHAN
8,ARTVÝN
9,AYDIN
10,BALIKESÝR
74,BARTIN
72,BATMAN
69,BAYBURT
11,BÝLECÝK
12,BÝNGÖL
13,BÝTLÝS
14,BOLU
15,BURDUR
17,ÇANAKKALE
18,ÇANKIRI
19,ÇORUM
20,DENÝZLÝ
21,DÝYARBAKIR
41,KOCAELÝ
42,KONYA
43,KÜTAHYA
44,MALATYA
45,MANÝSA
47,MARDÝN
33,MERSÝN
48,MUÐLA
49,MUÞ
50,NEVÞEHÝR
51,NÝÐDE
52,ORDU
80,OSMANÝYE
53,RÝZE
54,SAKARYA
55,SAMSUN
56,SÝÝRT
57,SÝNOP
73,ÞIRNAK
58,SÝVAS
59,TEKÝRDAÐ
60,TOKAT
61,TRABZON
62,TUNCELÝ
63,ÞANLIURFA
64,UÞAK
65,VAN
77,YALOVA
66,YOZGAT
67,ZONGULDAK
81,DÜZCE
22,EDÝRNE
23,ELAZIÐ
24,ERZÝNCAN
25,ERZURUM
26,ESKÝÞEHÝR
27,GAZÝANTEP
28,GÝRESUN
29,GÜMÜÞHANE
30,HAKKARÝ
31,HATAY
76,IÐDIR
32,ISPARTA
46,KAHRAMANMARAÞ
78,KARABÜK
70,KARAMAN
36,KARS
37,KASTAMONU
38,KAYSERÝ
79,KÝLÝS
71,KIRIKKALE
39,KIRKLARELÝ
40,KIRÞEHÝR
